id;label;description;price;brand;model;color;quantity;image_name;version
1;Steel;Assistant;57374;LAPIERRE;support navigate;BLUE;69097;Handmade;1
2;Dynamic Pound withdrawal;deposit Centers Metal;83023;SANTA;Michigan throughput Union;BLUE;27988;withdrawal green;1
3;Bedfordshire Lao neutral;Bike;78661;SPECIALIZED;Oklahoma;YELLOW;20520;Security;1
4;mobile Vermont auxiliary;COM Implementation Awesome;52784;ORBEA;withdrawal invoice;GREEN;15521;Keyboard;1
5;Center black pixel;Account;68319;SPECIALIZED;rich South Forward;BLUE;23086;Computer Arizona mobile;1
6;AGP lavender;navigate brand up;56289;SANTA;Ergonomic Ergonomic;WHITE;10526;Plastic Cambridgeshire;1
7;Automotive;Operations Chicken;61811;CANYON;transmit Incredible IB;RED;55509;Executive;1
8;magenta;National;85001;BTWIN;Chief interactive;BLUE;80985;multi-byte Frozen;1
9;Product;Administrator CFA;47027;WETHEPEOPLE;executive;BLUE;99734;Sleek non-volatile Technician;1
10;convergence moratorium Stand-alone;transmit;65021;SPECIALIZED;clear-thinking focus;BLACK;60568;infomediaries Electronics;1
